127.0.0.1 - - [03/Feb/2018:18:16:35 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/ HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/images/library1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:40 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:52 +0900] "GET /BookShare/MyPageAction.action;jsessionid=3C1367326BF56EBFE0621F88E9FCA0EC HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:52 +0900] "GET /BookShare/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:16:54 +0900] "GET /BookShare/GoLoginAction.action HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:20:41 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:20:41 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:29:55 +0900] "GET /BookShare/MyPageAction.action HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:30:00 +0900] "GET /BookShare/GoLoginAction.action HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:30:02 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [03/Feb/2018:18:30:02 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
