127.0.0.1 - - [19/Feb/2018:23:15:11 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:13 +0900] "GET /BookShare/WEB-INF/classes/com/bookshare/dao/BuyItemDAO.java HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:32 +0900] "GET /BookShare/ HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:43 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12595
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:43 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:54 +0900] "GET /BookShare/MyPageAction.action HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:15:56 +0900] "GET /BookShare/GoLoginAction.action HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:00 +0900] "POST /BookShare/LoginAction.action HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:04 +0900] "GET /BookShare/MyPageAction.action HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:05 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:09 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:09 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:15 +0900] "POST /BookShare/BookSearchAction.action HTTP/1.1" 200 8216
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:15 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:23 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:16:23 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:14 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:14 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/images/library1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:26 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:29 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:29 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:30 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:31 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:31 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:37 +0900] "GET /BookShare/ HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:37 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:37 +0900] "GET /BookShare/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:38 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:38 +0900] "GET /BookShare/images/library1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:51 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:17:52 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:02 +0900] "POST /BookShare/BookSearchAction.action HTTP/1.1" 200 8216
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:02 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:07 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:07 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:20 +0900] "GET /BookShare/BookDetailAciton.action?book_id=4 HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:18:20 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:21:41 +0900] "GET /BookShare/BookDetailAciton.action?book_id=4 HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:21:41 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:21:41 +0900] "GET /BookShare/css/bookDetail.css HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:21:41 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:23:21:41 +0900] "GET /BookShare/images/ico_pagetop.png HTTP/1.1" 404 1083
